date value
2013-01 486
2013-02 480
2013-03 686
2013-04 743
2013-05 843
2013-06 845
2013-07 911
2013-08 805
2013-09 733
2013-10 736
2013-11 713
2013-12 549
2014-01 564
2014-02 554
2014-03 733
2014-04 774
2014-05 934
2014-06 955
2014-07 1116
2014-08 935
2014-09 872
2014-10 857
2014-11 875
2014-12 640
2015-01 591
2015-02 603
2015-03 821
2015-04 848
2015-05 977
2015-06 1055
2015-07 1175
2015-08 972
2015-09 844
2015-10 934
2015-11 901
2015-12 653
2016-01 650
2016-02 685
2016-03 868
2016-04 996
2016-05 1010
2016-06 1177
2016-07 1235
2016-08 1008
2016-09 964
2016-10 889
2016-11 938
2016-12 728
2017-01 665
2017-02 687
2017-03 842
2017-04 1021
2017-05 1094
2017-06 1134
2017-07 1326
2017-08 1120
2017-09 1000
2017-10 998
2017-11 997
2017-12 700
